Barcode	SDB	Type	Reference	Test.CPM	Test_SD	Control.CPM	Control_SD	logFC	F	PValue	QValue
LeA-[1380]	SDB56	ACG PBS	Streptavidin	281.149646013093	38.1531655839852	159.928258076475	97.0499799999823	0.813913356118126	4.2653009696845	0.0501742908363144	0.0896243057686837
LeA-[1380]	SDB56	ACG HEPES	Streptavidin	810.806670189156	106.095444138046	159.929978590857	97.0499799999823	2.34191756254698	48.7960193538863	4.39788180013497e-09	4.55355903199815e-08
LeA-[1380]	SDB56	NPL PBS	Streptavidin	1004.04519735541	95.0040193754963	159.939950744048	97.0499799999823	2.65022196022236	51.313162490397	8.0975298648165e-12	1.59927307837757e-10
LeA-[1380]	SDB56	NPL HEPES	Streptavidin	1005.68823452748	116.798973504876	159.617147716264	97.0499799999823	2.6554955818044	52.7639883148187	1.82187105049593e-09	2.14821803303068e-08
LeA-[1380]	SDB56	MAL PBS	Streptavidin	274.612628976963	176.932681047356	159.256055516044	97.0499799999823	0.786049743917545	1.74791082096611	0.204443087723958	0.286465164834767
LeA-[1380]	SDB56	MAL HEPES	Streptavidin	814.436418229852	110.131004019343	159.745645066862	97.0499799999823	2.35002547278277	43.8705089579278	2.35518812228223e-06	1.28764958087393e-05
LeA-[1380]	SDB56	UEA PBS	Streptavidin	538.123354773166	19.2149178625875	160.309827751679	97.0499799999823	1.74707404946259	17.3256457823337	0.00047203705021085	0.0014053011418491
LeA-[1380]	SDB56	UEA HEPES	Streptavidin	331.054565912524	35.3823099330433	158.36326115202	97.0499799999823	1.06383134616107	4.70383455460688	0.04587760938069	0.0828345724929126
LeA-[1380]	SDB56	SNA PBS	Streptavidin	81.4958707537076	6.53698252644172	160.254313955824	97.0499799999823	-0.975564326307627	3.99322744693832	0.0598513103526464	0.10467269523557
LeA-[1380]	SDB56	SNA HEPES	Streptavidin	24.4222012096243	37.5798724516902	160.335570282761	97.0499799999823	-2.7148293778577	7.8214393679228	0.0184871132348036	0.0376827917852268
P1 penta-[860]	SDB13	CTb PBS	Streptavidin	2804.34641336862	1103.62730158012	1940.48476532551	82.8418355252813	0.53124746597182	3.27539038239659	0.099200579049445	0.159868701773899
P1 penta-[860]	SDB13	CTb HEPES	Streptavidin	3175.56509812347	1922.10912541469	1938.46177406209	82.8418355252813	0.712101059364963	6.75454330251908	0.0108886571021357	0.0239019302242004
P1 penta-[860]	SDB13	LCA PBS	Streptavidin	3218.18776099127	479.812523689094	1939.33285607139	82.8418355252813	0.730688060012341	10.2530253083797	0.00471310721512408	0.011346369221595
P1 penta-[860]	SDB13	LCA HEPES	Streptavidin	2904.93655987939	447.102206650466	1940.19573925335	82.8418355252813	0.58230444936671	7.03145880775619	0.0289436815075844	0.0557893037296109
P1 penta-[860]	SDB13	PSA PBS	Streptavidin	2594.89363039883	170.525116126788	1938.2335579565	82.8418355252813	0.420932974409515	2.8176225996866	0.107841040782155	0.170503707745183
P1 penta-[860]	SDB13	PSA HEPES	Streptavidin	2132.72085103773	696.635140730219	1938.76512910448	82.8418355252813	0.137557106283465	0.202231752535916	0.653300115501951	0.73922740342097
P1 penta-[860]	SDB13	SBA PBS	Streptavidin	80579.8671772773	33128.9461726245	1938.16789534837	82.8418355252813	5.37765397154789	475.109101375177	1.07297661091954e-22	2.09230439129311e-20
P1 penta-[860]	SDB13	SBA HEPES	Streptavidin	14814.0967728199	974.850533023442	1936.03666166247	82.8418355252813	2.9357924892175	311.385862013183	1.00456612537063e-16	6.18988529205583e-15
P1 penta-[860]	SDB13	ACG PBS	Streptavidin	5214.19981040062	68.4135966379582	1935.82993668001	82.8418355252813	1.42949365170505	76.9406495496705	7.5231675469806e-09	7.45941188980279e-08
P1 penta-[860]	SDB13	ACG HEPES	Streptavidin	3733.91505116477	708.327715095042	1935.76376006351	82.8418355252813	0.947786208395282	23.628486835545	8.38856349692468e-06	3.95750777879108e-05
P1 penta-[860]	SDB13	NPL PBS	Streptavidin	3256.10452943978	292.606222158288	1936.27783476364	82.8418355252813	0.74986103613893	13.6733412513978	0.000265344141097118	0.000841335081527448
P1 penta-[860]	SDB13	NPL HEPES	Streptavidin	2378.73299155774	187.197723790291	1936.76506442544	82.8418355252813	0.296544379765209	1.88674562510907	0.175429363651049	0.250613376644355
P1 penta-[860]	SDB13	MAL PBS	Streptavidin	3071.42334322978	374.3264566325	1938.81401493558	82.8418355252813	0.663732960542448	9.84995366099663	0.00625063992534922	0.0147147861421702
P1 penta-[860]	SDB13	MAL HEPES	Streptavidin	3033.20184975622	351.959627509263	1935.87734891533	82.8418355252813	0.647853956938445	12.145756372403	0.00245509682116682	0.00634194540846252
P1 penta-[860]	SDB13	UEA PBS	Streptavidin	2156.63333953802	200.485133693064	1936.91439833645	82.8418355252813	0.155020721609224	0.60948790721246	0.444028218179464	0.547432049810298
P1 penta-[860]	SDB13	UEA HEPES	Streptavidin	1588.45248696078	238.366018362383	1938.04254319463	82.8418355252813	-0.286978303124351	1.54385395670481	0.232351567246102	0.318700273948346
P1 penta-[860]	SDB13	SNA PBS	Streptavidin	2912.72879486989	134.339794230349	1935.87500020711	82.8418355252813	0.58938557738017	12.5941737702732	0.00208190665733605	0.00552342582558544
P1 penta-[860]	SDB13	SNA HEPES	Streptavidin	4617.41810562732	1069.00067968156	1937.43290601333	82.8418355252813	1.25294002363126	49.1959202150579	2.57618013592505e-05	0.000103223656131243
LNT-NAc-[920]	SDB42	CTb PBS	Streptavidin	1558.65027899542	315.099821913957	829.154521939702	155.152827442279	0.910584366951494	8.00170372180619	0.0172155855766705	0.0353372546047447
LNT-NAc-[920]	SDB42	CTb HEPES	Streptavidin	848.665378741713	529.866026161466	826.372844271826	155.152827442279	0.0384029779158573	0.0104959283830774	0.918622394971975	0.943624409233724
